,website,email,last_scanned,domain,error
0,https://www.alimertgencoglu.av.tr/,iletisim@alimertgencoglu.av.tr,2023-12-10 18:49:33,www.alimertgencoglu.av.tr,
1,https://dymhukuk.com/,info@dymhukuk.com,2023-12-10 19:03:40,dymhukuk.com,
2,https://www.imtilak.net/,info@imtilakglobal.ae,2023-12-10 19:03:41,www.imtilak.net,
3,http://axislawconsulting.com/,info@axislawconsulting.com,2023-12-10 19:03:42,axislawconsulting.com,
4,http://www.selverakkoyunkorkmaz.av.tr/,info@selverakkoyunkorkmaz.av.tr,2023-12-10 19:03:58,www.selverakkoyunkorkmaz.av.tr,
5,https://mihci.av.tr/,info@mihci.av.tr,2023-12-10 19:04:00,mihci.av.tr,
6,http://azizemreyilmaz.av.tr/,av.azizemreyilmaz@gmail.com,2023-12-10 19:04:00,azizemreyilmaz.av.tr,
7,https://www.bulutadalet.com/,bulutadaletfirm@gmail.com,2023-12-10 19:04:02,www.bulutadalet.com,
8,https://orhandogan.av.tr/,info@orhandogan.av.tr,2023-12-10 19:04:04,orhandogan.av.tr,
9,https://www.kurucuk.com.tr/,info@kurucuk.com.tr,2023-12-10 19:04:16,www.kurucuk.com.tr,
10,http://www.kararpatent.com/,info@kararpatent.com,2023-12-10 19:04:17,www.kararpatent.com,
11,http://www.mgc.com.tr/,info@mgc.com.tr,2023-12-10 19:04:18,www.mgc.com.tr,
12,http://www.ayaturk.com.tr/,info@ayaturk.com.tr,2023-12-10 19:04:18,www.ayaturk.com.tr,
13,https://barandogan.av.tr/,avbaran11@gmail.com,2023-12-10 19:04:30,barandogan.av.tr,
14,http://www.beyazayhukuk.com/,avburcubeyazay@gmail.com,2023-12-10 19:04:36,www.beyazayhukuk.com,
15,https://www.cihatdemirbag.com.tr/,bilgi@cihatdemirbag.com.tr,2023-12-10 19:04:38,www.cihatdemirbag.com.tr,
16,https://www.narli.av.tr/,info@narli.av.tr,2023-12-10 19:04:39,www.narli.av.tr,
17,https://alpserhukuk.com/,info@alpserhukuk.com,2023-12-10 19:04:40,alpserhukuk.com,
18,https://trustusconsultancy.com/,name@domain.com,2023-12-10 19:04:40,trustusconsultancy.com,
19,http://www.mfy-partners.com/,info@mfy-partners.com,2023-12-10 19:04:42,www.mfy-partners.com,
20,https://derinhukuk.av.tr/,avfatihderin@derinhukuk.av.tr,2023-12-10 19:04:44,derinhukuk.av.tr,
21,https://derinhukuk.av.tr/,av.fatihderin@gmail.com,2023-12-10 19:04:44,derinhukuk.av.tr,
22,http://www.ckay.com.tr/,info@ckay.com.tr,2023-12-10 19:04:46,www.ckay.com.tr,
